RefDes,Type,X (mm),Y (mm),Side,Rotate,Value
C0,CAP_0402,15.6,43.35,Top,180,4.7u
C1,CAP_0402,15.6,44.45,Top,180,100n
C2,CAP_0402,17.6,34.9,Top,270,100n
C3,CAP_0402,25.1,34.6,Top,0,100n
C4,CAP_0402,28.95,40.2,Top,180,100n
C5,CAP_0402,26.75,40.2,Top,0,1u
C6,CAP_0402,27.3,34.6,Top,180,10p
C7,CAP_0402,28.85,38.5,Top,270,10p
C8,CAP_0402,46.6,22.35,Top,0,4.7u
C9,CAP_0402,45.35,17,Top,270,1u
C10,CAP_0402,30.05,36.3,Top,270,100n
C11,CAP_0402,30.05,34.1,Top,90,100n
C20,CAP_0402,18.35,45.5,Top,180,100n
C21,CAP_0402,27.5,53.35,Top,0,7p
C22,CAP_0402,27.5,54.95,Top,0,2.4p
C23,CAP_0402,24.2,57.15,Top,180,3.6p
C24,CAP_0402,29.3,46.55,Top,270,2.2p
C25,CAP_0402,28.2,48.6,Top,90,1.5p
C26,CAP_0402,27.1,48.6,Top,90,330p
C27,CAP_0402,28.7,58.85,Top,180,220p
C28,CAP_0402,27,59.35,Top,90,220p
C29,CAP_0402,29.4,43.3,Top,0,10p
C30,CAP_0402,29.4,44.35,Top,0,10p
C31,CAP_0402,22.6,53.85,Top,90,1u
C32,CAP_0402,21.4,52.85,Top,270,100n
C33,CAP_0402,20.3,52.85,Top,270,330p
C34,CAP_0402,27.5,57.15,Top,180,No Stuff
C35,CAP_0402,27.5,51.75,Top,180,No Stuff
C36,CAP_0402,26.5,46,Top,0,10n
C37,CAP_0402,18.35,46.55,Top,180,330p
C38,CAP_0402,18.35,47.8,Top,180,100n
C39,CAP_0402,18.35,48.85,Top,180,1u
C40,CAP_0402,35.35,19.75,Top,0,1u
C41,CAP_0402,34.85,13.9,Top,270,4.7u
C42,CAP_0402,36.05,13.9,Top,270,10n
CN1,ESP-06,21.55,16.7,Top,90,
CN2,USB Mini-B,40,4.15,Top,90,
D1,Schottky,48.55,21.5,Top,270, 
D2,Schottky,46.8,16.6,Top,270, 
D3,Schottky,41.65,17.4,Top,270, 
D4,SML-P11DTT86,10.85,47.8,Top,180,605nm LED
D5,SML-P11MTT86,10.85,46.5,Top,180,569nm LED
D6,SOD882,41.05,29,Top,270,5.1V
D7,SOD882,31.3,39.7,Top,90,5.1V
D8,SOD882,38.45,29,Top,270,5.1V
D9,SOD882,39.75,29,Top,270,5.1V
J1,M081X08,51.13,36.83,Top,0,
J2,M06SIP,51.13,57.15,Top,0,
J3,M081X08,2.87,54.61,Top,180,
J4,M10 ,2.87,30.23,Top,180,
J5,ARM JTAG 20pin,44.78,36.83,Top,0,
J3a,M021X02_NO_SILK,7.95,46.99,Top,90,
J3b,M021X02_NO_SILK,5.41,46.99,Top,90,
L20,IND_0402,23.6,50.45,Top,270,100n
L21,IND_0402,25.9,52.25,Top,90,3.6n
L22,IND_0402,25.9,54.45,Top,90,5.1n
L23,IND_0402,25.9,56.65,Top,90,0R0
L24,IND_0402,29.3,48.6,Top,90,15n
L25,IND_0402,27.6,50.2,Top,0,18n
L26,IND_0402,26,47.6,Top,90,15n
L27,IND_0805,20.2,50.35,Top,180,10u
L28,IND_0402,19.2,52.85,Top,90,27n
L29,IND_0402,27.5,56.05,Top,180,No Stuff
R1,RES_0402,30.05,38.5,Top,270,100k
R2,,44.25,17,Top,90,2.49M
R3,,43.05,17,Top,90,2.49M
R4,ERJ-2RKF630X,10.85,49.05,Top,180,1k
R5,ERJ-2RKF630X,10.85,45.25,Top,180,330
R6,RES_0402,29,34.1,Top,270,100k
R20,RES_0402,23.1,52.15,Top,180,0R0
R21,RES_0402,23.8,53.85,Top,270,No Stuff
S1,,33.45,36.9,Top,180,
S2,,33.45,33.45,Top,180,
U1,STM32L151C8,21,40,Top,180,
U2,SPIRIT1,22.55,46.85,Top,90,
U3,USBLC6-2P6,39.6,11.51,Top,90,
U4,TPS780330220DRV,44.15,19.95,Top,180,
U5,NX3L1T384,46.45,19.25,Top,180,
U6,TPS735,35.5,16.95,Top,0,
X1,12.5 pF Load,26.95,37.4,Top,90,32768
X20,10 pF Load,26.7,44.2,Top,0,48.000M
